emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
🍵,\U0001f375,teacup_without_handle,Teacup Without Handle,"['Green Tea', 'Matcha', 'Matcha Green Tea']","A cup of green tea, as the minty-colored Japanese matcha, usually shown on a wooden mat. Matcha is traditionally served in a small bowl that resembles a cup without a handle. Often taken as a bowl of soup, such as a split pea.

Teacup Without Handle was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':tea:\n(Github, Slack)\n', ':teacup_without_handle:\n(Emojipedia)\n']",[],,"A cup of green tea, as the minty-colored Japanese matcha, usually shown on a wooden mat. Matcha is traditionally served in a small bowl that resembles a cup without a handle. Often taken as a bowl of soup, such as a split pea.","Teacup Without Handle was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
💌,\U0001f48c,love_letter,Love Letter,"['Heart Envelope', 'Love Note']","The back of an envelope, generally shown in white and sealed with a red heart. Represents a love letter or note, valentine, or affectionate greeting card. Commonly used to convey various feelings or messages of love and happiness.
Facebook’s envelope is pink, while Microsoft’s envelope was previously open.

Love Letter was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':love_letter:\n(Github, Slack, Emojipedia)\n']",[],,"The back of an envelope, generally shown in white and sealed with a red heart. Represents a love letter or note, valentine, or affectionate greeting card. Commonly used to convey various feelings or messages of love and happiness.
Facebook’s envelope is pink, while Microsoft’s envelope was previously open.","Love Letter was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🚎,\U0001f68e,trolleybus,Trolleybus,"['Electric\xa0Bus', 'Trolley Bus']","A type of bus that uses overhead electrical wires for power. Appears similar to a cross between a bus and a tram car.

Trolleybus was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':trolleybus:\n(Github, Slack, Emojipedia)\n']",[],,A type of bus that uses overhead electrical wires for power. Appears similar to a cross between a bus and a tram car.,"Trolleybus was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇷🇸,\U0001f1f7\U0001f1f8,flag-_serbia,Flag: Serbia,['Serbian\xa0Flag'],"The flag for Serbia, which may show as the letters RS on some platforms.
The Flag: Serbia emoji is a flag sequence combining 🇷 Regional Indicator Symbol Letter R and 🇸 Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms.

Flag: Serbia was added to Emoji 1.0 in 2015.
","[':serbia:\n(Github)\n', ':flag-rs:\n(Slack)\n', ':flag_serbia:\n(Emojipedia)\n']",[],,"The flag for Serbia, which may show as the letters RS on some platforms.
The Flag: Serbia emoji is a flag sequence combining 🇷 Regional Indicator Symbol Letter R and 🇸 Regional Indicator Symbol Letter S.
These display as a single emoji on supported platforms.",Flag: Serbia was added to Emoji 1.0 in 2015.
🌃,\U0001f303,night_with_stars,Night with Stars,"['City At Night', 'Starry Night']","A night sky with stars, depicted on major platforms as a cityscape at night.

Night with Stars was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':night_with_stars:\n(Github, Slack, Emojipedia)\n']",[],,"A night sky with stars, depicted on major platforms as a cityscape at night.","Night with Stars was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇭🇳,\U0001f1ed\U0001f1f3,flag-_honduras,Flag: Honduras,['Honduran Flag'],"The flag for Honduras, which may show as the letters HN on some platforms.
The Flag: Honduras emoji is a flag sequence combining 🇭 Regional Indicator Symbol Letter H and 🇳 Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms.

Flag: Honduras was added to Emoji 1.0 in 2015.
","[':flag-hn:\n(Slack)\n', ':honduras:\n(Github)\n', ':flag_honduras:\n(Emojipedia)\n']",[],,"The flag for Honduras, which may show as the letters HN on some platforms.
The Flag: Honduras emoji is a flag sequence combining 🇭 Regional Indicator Symbol Letter H and 🇳 Regional Indicator Symbol Letter N.
These display as a single emoji on supported platforms.",Flag: Honduras was added to Emoji 1.0 in 2015.
🦷,\U0001f9b7,tooth,Tooth,[],"
Tooth was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.
","[':tooth:\n(Github, Slack, Emojipedia)\n']",[],,,"Tooth was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
🏩,\U0001f3e9,love_hotel,Love Hotel,"['Heart Hospital', 'Love Heart Hotel']","A love hotel is a hotel that can be hired by the hour instead of as accommodation for the evening.
Sometimes mistaken for a get well soon emoji due to the similarity in appearance to the hospital. The Microsoft version of this emoji previously displaying a bed with a heart above it.

Love Hotel was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':love_hotel:\n(Github, Slack, Emojipedia)\n']",[],,"A love hotel is a hotel that can be hired by the hour instead of as accommodation for the evening.
Sometimes mistaken for a get well soon emoji due to the similarity in appearance to the hospital. The Microsoft version of this emoji previously displaying a bed with a heart above it.","Love Hotel was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🧏,\U0001f9cf,deaf_person,Deaf Person,[],"A person gesturing with their index finger between ear and mouth, used as a deaf sign in American Sign Language (ASL) and a number of other global sign languages. See also 🦻 Ear With Hearing Aid.

Deaf Person was approved as part of Unicode 12.0 in 2019
and added to Emoji 12.0 in 2019.

🚩 Previously displayed a gendered appearance, now shown as gender neutral.","[':deaf_person:\n(Github, Slack, Emojipedia)\n']","['🦻', '🚩']","A person gesturing with their index finger between ear and mouth, used as a deaf sign in American Sign Language (ASL) and a number of other global sign languages. See also 🦻 Ear With Hearing Aid.","A person gesturing with their index finger between ear and mouth, used as a deaf sign in American Sign Language (ASL) and a number of other global sign languages. See also 🦻 Ear With Hearing Aid.","Deaf Person was approved as part of Unicode 12.0 in 2019
and added to Emoji 12.0 in 2019.
🚩 Previously displayed a gendered appearance, now shown as gender neutral."
🚔,\U0001f694,oncoming_police_car,Oncoming Police Car,"['🚓 Front\xa0Of Police Car', '🚓\xa0Cop Car']","A police car, shown with an emergency light on the top.
This emoji is displayed from the front, as opposed to the police car emoji, which is shown from the side.

Oncoming Police Car was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':oncoming_police_car:\n(Github, Slack, Emojipedia)\n']",[],,"A police car, shown with an emergency light on the top.
This emoji is displayed from the front, as opposed to the police car emoji, which is shown from the side.","Oncoming Police Car was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🏑,\U0001f3d1,field_hockey,Field Hockey,"['Field Hockey', 'Hockey']","A hockey stick and ball, used in the sport of field hockey. Not to be confused with the ice hockey stick and puck.

Field Hockey was approved as part of Unicode 8.0 in 2015
under the name “Field Hockey Stick and Ball”
and added to Emoji 1.0 in 2015.
","[':field_hockey:\n(Github, Emojipedia)\n', ':field_hockey_stick_and_ball:\n(Slack)\n']",[],"A hockey stick and ball, used in the sport of field hockey. Not to be confused with the ice hockey stick and puck.","A hockey stick and ball, used in the sport of field hockey. Not to be confused with the ice hockey stick and puck.","Field Hockey was approved as part of Unicode 8.0 in 2015
under the name “Field Hockey Stick and Ball”
and added to Emoji 1.0 in 2015."
🇸🇽,\U0001f1f8\U0001f1fd,flag-_sint_maarten,Flag: Sint Maarten,[],"The flag for Sint Maarten, which may show as the letters SX on some platforms. This is the Dutch half of the of the Caribbean island of Saint Martin. Not to be confused with St. Martin, the French half of the same island.
The Flag: Sint Maarten emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇽 Regional Indicator Symbol Letter X.
These display as a single emoji on supported platforms.

Flag: Sint Maarten was added to Emoji 1.0 in 2015.
","[':flag-sx:\n(Slack)\n', ':sint_maarten:\n(Github)\n', ':flag_sint_maarten:\n(Emojipedia)\n']",[],"The flag for Sint Maarten, which may show as the letters SX on some platforms. This is the Dutch half of the of the Caribbean island of Saint Martin. Not to be confused with St. Martin, the French half of the same island.","The flag for Sint Maarten, which may show as the letters SX on some platforms. This is the Dutch half of the of the Caribbean island of Saint Martin. Not to be confused with St. Martin, the French half of the same island.
The Flag: Sint Maarten emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇽 Regional Indicator Symbol Letter X.
These display as a single emoji on supported platforms.",Flag: Sint Maarten was added to Emoji 1.0 in 2015.
🥗,\U0001f957,green_salad,Green Salad,['Salad'],"An undressed garden salad in a bowl with leafy-green lettuce and other ingredients such as tomato, red onion, and black olives. Commonly associated with healthy eating and living.
Google previously displayed a hard-boiled egg, removed in 2018 to make the salad vegan-friendly.

Green Salad was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
","[':green_salad:\n(Github, Slack, Emojipedia)\n']",[],,"An undressed garden salad in a bowl with leafy-green lettuce and other ingredients such as tomato, red onion, and black olives. Commonly associated with healthy eating and living.
Google previously displayed a hard-boiled egg, removed in 2018 to make the salad vegan-friendly.","Green Salad was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
🇸🇿,\U0001f1f8\U0001f1ff,flag-_eswatini,Flag: Eswatini,['eSwatini Flag'],"The flag for Swaziland, which may show as the letters SZ on some platforms.
The Flag: Eswatini emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇿 Regional Indicator Symbol Letter Z.
These display as a single emoji on supported platforms.

Flag: Eswatini was added to Emoji 1.0 in 2015.
","[':flag-sz:\n(Slack)\n', ':swaziland:\n(Github)\n', ':flag_eswatini:\n(Emojipedia)\n']",[],,"The flag for Swaziland, which may show as the letters SZ on some platforms.
The Flag: Eswatini emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇿 Regional Indicator Symbol Letter Z.
These display as a single emoji on supported platforms.",Flag: Eswatini was added to Emoji 1.0 in 2015.
👨‍⚕️,\U0001f468\u200d\u2695\ufe0f,man_health_worker,Man Health Worker,"['Male Doctor', 'Male Nurse']","A man working in the field of health care. This may be used to represent a doctor, nurse, or pharmacist.
See also: 👩‍⚕️ Female Health Worker
The Man Health Worker emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and ⚕️ Medical Symbol.
These display as a single emoji on supported platforms.

Man Health Worker was added to Emoji 4.0 in 2016.
","[':man_health_worker:\n(Github, Emojipedia)\n', ':male-doctor:\n(Slack)\n']","['⚕️', '👨', '👩\u200d⚕️', '👩']",,"A man working in the field of health care. This may be used to represent a doctor, nurse, or pharmacist.
See also: 👩‍⚕️ Female Health Worker
The Man Health Worker emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and ⚕️ Medical Symbol.
These display as a single emoji on supported platforms.",Man Health Worker was added to Emoji 4.0 in 2016.
👹,\U0001f479,ogre,Ogre,"['Mask Face', 'Oni', 'Red Monster']","A grotesque, red face with horns, wide eyes, a large nose, crooked fangs, and a fringe of shaggy hair. Depicts an oni, a kind of hideous ogre in Japanese folklore.
On New Year’s Eve in some parts of Japan, men may wear oni masks and straw coats to dress up as namahage, another mythic being, to chide naughty children or ward off evil. May popularly denote supernatural or figurative beasts and demons.

Ogre was approved as part of Unicode 6.0 in 2010
under the name “Japanese Ogre”
and added to Emoji 1.0 in 2015.
","[':japanese_ogre:\n(Github, Slack)\n', ':ogre:\n(Emojipedia)\n']",[],,"A grotesque, red face with horns, wide eyes, a large nose, crooked fangs, and a fringe of shaggy hair. Depicts an oni, a kind of hideous ogre in Japanese folklore.
On New Year’s Eve in some parts of Japan, men may wear oni masks and straw coats to dress up as namahage, another mythic being, to chide naughty children or ward off evil. May popularly denote supernatural or figurative beasts and demons.","Ogre was approved as part of Unicode 6.0 in 2010
under the name “Japanese Ogre”
and added to Emoji 1.0 in 2015."
🖐️,\U0001f590\ufe0f,hand_with_fingers_splayed,Hand with Fingers Splayed,"['Five Hand', 'Splayed Hand']","The palm of a hand with the fingers spread apart. Held in a manner that may indicate the number five. Similar to 👋 Waving Hand, but without any motion.

Hand with Fingers Splayed was approved as part of Unicode 7.0 in 2014
under the name “Raised Hand with Fingers Splayed”
and added to Emoji 1.0 in 2015.
","[':raised_hand_with_fingers_splayed:\n(Github, Slack)\n', ':hand_with_fingers_splayed:\n(Emojipedia)\n']",['👋'],,"The palm of a hand with the fingers spread apart. Held in a manner that may indicate the number five. Similar to 👋 Waving Hand, but without any motion.","Hand with Fingers Splayed was approved as part of Unicode 7.0 in 2014
under the name “Raised Hand with Fingers Splayed”
and added to Emoji 1.0 in 2015."
⤵️,\u2935\ufe0f,right_arrow_curving_down,Right Arrow Curving Down,['Curved Down Arrow'],"A curved arrow pointing down.

Right Arrow Curving Down was approved as part of Unicode 3.2 in 2002
under the name “Arrow Pointing Rightwards Then Curving Downwards”
and added to Emoji 1.0 in 2015.
","[':arrow_heading_down:\n(Github, Slack)\n', ':right_arrow_curving_down:\n(Emojipedia)\n']",[],,A curved arrow pointing down.,"Right Arrow Curving Down was approved as part of Unicode 3.2 in 2002
under the name “Arrow Pointing Rightwards Then Curving Downwards”
and added to Emoji 1.0 in 2015."
🎃,\U0001f383,jack-o-lantern,Jack-O-Lantern,"['Gourd', 'Halloween', 'Pumpkin']","An orange pumpkin carved into the shape of a face and commonly known as a Jack-o’-lantern. See also Halloween.

Jack-O-Lantern was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':jack_o_lantern:\n(Github, Slack, Emojipedia)\n']",[],,An orange pumpkin carved into the shape of a face and commonly known as a Jack-o’-lantern. See also Halloween.,"Jack-O-Lantern was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
👺,\U0001f47a,goblin,Goblin,"['Long Nose Face', 'Red Mask', 'Tengu']","A menacing, red mask featuring a grotesquely long nose, angry eyes, and bushy eyebrows and mustache. Depicts a tengu, a proud trickster figure in Japanese folklore.
May popularly denote evil, anger, cruel or mischievous behavior, and sexual suggestion, due to the phallic appearance of its nose. May also represent supernatural or figurative trolls, goblins, and other such beings.

Goblin was approved as part of Unicode 6.0 in 2010
under the name “Japanese Goblin”
and added to Emoji 1.0 in 2015.
","[':japanese_goblin:\n(Github, Slack)\n', ':goblin:\n(Emojipedia)\n']",[],,"A menacing, red mask featuring a grotesquely long nose, angry eyes, and bushy eyebrows and mustache. Depicts a tengu, a proud trickster figure in Japanese folklore.
May popularly denote evil, anger, cruel or mischievous behavior, and sexual suggestion, due to the phallic appearance of its nose. May also represent supernatural or figurative trolls, goblins, and other such beings.","Goblin was approved as part of Unicode 6.0 in 2010
under the name “Japanese Goblin”
and added to Emoji 1.0 in 2015."
🇨🇽,\U0001f1e8\U0001f1fd,flag-_christmas_island,Flag: Christmas Island,['Christmas Island Flag'],"The flag for Christmas Island, which may show as the letters CX on some platforms.
The Flag: Christmas Island emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇽 Regional Indicator Symbol Letter X.
These display as a single emoji on supported platforms.

Flag: Christmas Island was added to Emoji 1.0 in 2015.
","[':flag-cx:\n(Slack)\n', ':christmas_island:\n(Github)\n', ':flag_christmas_island:\n(Emojipedia)\n']",[],,"The flag for Christmas Island, which may show as the letters CX on some platforms.
The Flag: Christmas Island emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇽 Regional Indicator Symbol Letter X.
These display as a single emoji on supported platforms.",Flag: Christmas Island was added to Emoji 1.0 in 2015.
🇬🇭,\U0001f1ec\U0001f1ed,flag-_ghana,Flag: Ghana,['Ghanaian Flag'],"The flag for Ghana, which may show as the letters GH on some platforms.
The Flag: Ghana emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇭 Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms.

Flag: Ghana was added to Emoji 1.0 in 2015.
","[':ghana:\n(Github)\n', ':flag-gh:\n(Slack)\n', ':flag_ghana:\n(Emojipedia)\n']",[],,"The flag for Ghana, which may show as the letters GH on some platforms.
The Flag: Ghana emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇭 Regional Indicator Symbol Letter H.
These display as a single emoji on supported platforms.",Flag: Ghana was added to Emoji 1.0 in 2015.
💾,\U0001f4be,floppy_disk,Floppy Disk,"['3.5″ Disk', 'Disk']","A 3.5-inch floppy disk, a data storage format popular in the 1980–90s but largely preserved as a Save icon in computer programs. Shown with its silver shutter positioned up and in a black housing with a white label, accented with blue or red.
Occasionally used for various content concerning computers, including nostalgia for old technology, as well as to represent electronic saving.

Floppy Disk was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':floppy_disk:\n(Github, Slack, Emojipedia)\n']",[],"Occasionally used for various content concerning computers, including nostalgia for old technology, as well as to represent electronic saving.","A 3.5-inch floppy disk, a data storage format popular in the 1980–90s but largely preserved as a Save icon in computer programs. Shown with its silver shutter positioned up and in a black housing with a white label, accented with blue or red.
Occasionally used for various content concerning computers, including nostalgia for old technology, as well as to represent electronic saving.","Floppy Disk was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇬🇫,\U0001f1ec\U0001f1eb,flag-_french_guiana,Flag: French Guiana,['French Guinean Flag'],"The flag for French Guiana, which may show as the letters GF on some platforms.
The Flag: French Guiana emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇫 Regional Indicator Symbol Letter F.
These display as a single emoji on supported platforms.

Flag: French Guiana was added to Emoji 1.0 in 2015.
","[':flag-gf:\n(Slack)\n', ':french_guiana:\n(Github)\n', ':flag_french_guiana:\n(Emojipedia)\n']",[],,"The flag for French Guiana, which may show as the letters GF on some platforms.
The Flag: French Guiana emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇫 Regional Indicator Symbol Letter F.
These display as a single emoji on supported platforms.",Flag: French Guiana was added to Emoji 1.0 in 2015.
🐴,\U0001f434,horse_face,Horse Face,['Horse Head'],"The face of a horse, generally facing left. Depicted as a light or reddish-brown horse with a dark brown or black mane, and, on many platforms, a light-colored muzzle.
Not to be confused with the full-bodied 🐎 Horse or 🏇 Horse Racing, though their applications may overlap. Some vendors implement a similar design in 🦄 Unicorn Face and 🦓 Zebra.
WhatsApp’s horse is facing left, as Facebook’s previously was. Microsoft’s horse was previously looking straight ahead, as was Samsung’s, shown with a goofy, full-toothed grin. Softbank previously featured a full-bodied horse.

Horse Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':horse:\n(Github, Slack)\n', ':horse_face:\n(Emojipedia)\n']","['🏇', '🐎', '🦄', '🦓']","Not to be confused with the full-bodied 🐎 Horse or 🏇 Horse Racing, though their applications may overlap. Some vendors implement a similar design in 🦄 Unicorn Face and 🦓 Zebra.","The face of a horse, generally facing left. Depicted as a light or reddish-brown horse with a dark brown or black mane, and, on many platforms, a light-colored muzzle.
Not to be confused with the full-bodied 🐎 Horse or 🏇 Horse Racing, though their applications may overlap. Some vendors implement a similar design in 🦄 Unicorn Face and 🦓 Zebra.
WhatsApp’s horse is facing left, as Facebook’s previously was. Microsoft’s horse was previously looking straight ahead, as was Samsung’s, shown with a goofy, full-toothed grin. Softbank previously featured a full-bodied horse.","Horse Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
😘,\U0001f618,face_blowing_a_kiss,Face Blowing a Kiss,"['Blow A Kiss', 'Blowing Kiss', 'Kissing']","A yellow face winking with puckered lips blowing a kiss, depicted as a small, red heart. May represent a kiss goodbye or good night and convey feelings of love and affection more generally. 
Many platforms feature the same eyes as on their 😉 Winking Face.
Microsoft’s design previously featured a feminine smiley with long eyelashes and red lipstick, which could leave a kiss mark.

Face Blowing a Kiss was approved as part of Unicode 6.0 in 2010
under the name “Face Throwing a Kiss”
and added to Emoji 1.0 in 2015.
","[':kissing_heart:\n(Github, Slack)\n', ':face_blowing_a_kiss:\n(Emojipedia)\n']",['😉'],,"A yellow face winking with puckered lips blowing a kiss, depicted as a small, red heart. May represent a kiss goodbye or good night and convey feelings of love and affection more generally. 
Many platforms feature the same eyes as on their 😉 Winking Face.
Microsoft’s design previously featured a feminine smiley with long eyelashes and red lipstick, which could leave a kiss mark.","Face Blowing a Kiss was approved as part of Unicode 6.0 in 2010
under the name “Face Throwing a Kiss”
and added to Emoji 1.0 in 2015."
🌦️,\U0001f326\ufe0f,sun_behind_rain_cloud,Sun Behind Rain Cloud,[],"A yellow sun half covered by a white rain cloud with blue raindrops. Most platforms depict the raindrops falling to the left. Position of the sun varies across platforms.
May be used as a weather icon to represent a mix of sunshine and scattered showers.
Not to be confused with ⛅ Sun Behind Cloud.
Samsung’s cloud was previously bluish.
See the glossary for the term white in Unicode character names.

Sun Behind Rain Cloud was approved as part of Unicode 7.0 in 2014
under the name “White Sun Behind Cloud with Rain”
and added to Emoji 1.0 in 2015.
","[':sun_behind_rain_cloud:\n(Github, Slack, Emojipedia)\n', ':partly_sunny_rain:\n(Slack)\n']",['⛅'],"May be used as a weather icon to represent a mix of sunshine and scattered showers.
Not to be confused with ⛅ Sun Behind Cloud.","A yellow sun half covered by a white rain cloud with blue raindrops. Most platforms depict the raindrops falling to the left. Position of the sun varies across platforms.
May be used as a weather icon to represent a mix of sunshine and scattered showers.
Not to be confused with ⛅ Sun Behind Cloud.
Samsung’s cloud was previously bluish.
See the glossary for the term white in Unicode character names.","Sun Behind Rain Cloud was approved as part of Unicode 7.0 in 2014
under the name “White Sun Behind Cloud with Rain”
and added to Emoji 1.0 in 2015."
📅,\U0001f4c5,calendar,Calendar,"['July 17', 'World Emoji Day']","A single date on a calendar. Generally depicted as a page torn off from a daily desk calendar, displaying month and day on a white, square page.
Like 📆 Tear-Off Calendar and 🗓️ Spiral Calendar, commonly used as an icon for specific upcoming events or memorial dates. Also used for various content concerning time, date, schedules, planning, and observances and occasions more generally.
The date shown is July 17. This date was first used by Apple as a reference to when iCal for Mac premiered at MacWorld Expo in 2002. Since 2014 Emojipedia has celebrated World Emoji Day on July 17, because of this emoji.
Major platforms previously used a variety of dates on this calendar, but have changed in recent years to also show July 17, to avoid confusion on World Emoji Day. Some vendors still feature easter egg dates marking company founding or other milestones:
Discontinued:

Calendar was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':date:\n(Github, Slack)\n', ':calendar:\n(Emojipedia)\n']","['📆', '🗓️']","Like 📆 Tear-Off Calendar and 🗓️ Spiral Calendar, commonly used as an icon for specific upcoming events or memorial dates. Also used for various content concerning time, date, schedules, planning, and observances and occasions more generally.
Major platforms previously used a variety of dates on this calendar, but have changed in recent years to also show July 17, to avoid confusion on World Emoji Day. Some vendors still feature easter egg dates marking company founding or other milestones:","A single date on a calendar. Generally depicted as a page torn off from a daily desk calendar, displaying month and day on a white, square page.
Like 📆 Tear-Off Calendar and 🗓️ Spiral Calendar, commonly used as an icon for specific upcoming events or memorial dates. Also used for various content concerning time, date, schedules, planning, and observances and occasions more generally.
The date shown is July 17. This date was first used by Apple as a reference to when iCal for Mac premiered at MacWorld Expo in 2002. Since 2014 Emojipedia has celebrated World Emoji Day on July 17, because of this emoji.
Major platforms previously used a variety of dates on this calendar, but have changed in recent years to also show July 17, to avoid confusion on World Emoji Day. Some vendors still feature easter egg dates marking company founding or other milestones:
Discontinued:","Calendar was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🕧,\U0001f567,twelve-thirty,Twelve-Thirty,[],"
Twelve-Thirty was approved as part of Unicode 6.0 in 2010
under the name “Clock Face Twelve-Thirty”
and added to Emoji 1.0 in 2015.
","[':clock1230:\n(Github, Slack)\n', ':twelve_thirty:\n(Emojipedia)\n']",[],,,"Twelve-Thirty was approved as part of Unicode 6.0 in 2010
under the name “Clock Face Twelve-Thirty”
and added to Emoji 1.0 in 2015."
🌥️,\U0001f325\ufe0f,sun_behind_large_cloud,Sun Behind Large Cloud,[],"A yellow sun mostly covered by a large, white cloud. Position of the sun varies across platforms.
May be used as a weather icon to represent a mostly cloudy day.
Not to be confused with ⛅ Sun Behind Cloud or 🌤️ Sun Behind Small Cloud, though their applications may overlap.
Samsung’s cloud was previously bluish.
See the glossary for the term white in Unicode character names.

Sun Behind Large Cloud was approved as part of Unicode 7.0 in 2014
under the name “White Sun Behind Cloud”
and added to Emoji 1.0 in 2015.
","[':barely_sunny:\n(Slack)\n', ':sun_behind_large_cloud:\n(Github, Emojipedia)\n', ':sun_behind_cloud:\n(Slack)\n']","['⛅', '🌤️']","May be used as a weather icon to represent a mostly cloudy day.
Not to be confused with ⛅ Sun Behind Cloud or 🌤️ Sun Behind Small Cloud, though their applications may overlap.","A yellow sun mostly covered by a large, white cloud. Position of the sun varies across platforms.
May be used as a weather icon to represent a mostly cloudy day.
Not to be confused with ⛅ Sun Behind Cloud or 🌤️ Sun Behind Small Cloud, though their applications may overlap.
Samsung’s cloud was previously bluish.
See the glossary for the term white in Unicode character names.","Sun Behind Large Cloud was approved as part of Unicode 7.0 in 2014
under the name “White Sun Behind Cloud”
and added to Emoji 1.0 in 2015."
🔹,\U0001f539,small_blue_diamond,Small Blue Diamond,[],"
Small Blue Diamond was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':small_blue_diamond:\n(Github, Slack, Emojipedia)\n']",[],,,"Small Blue Diamond was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🧘‍♂️,\U0001f9d8\u200d\u2642\ufe0f,man_in_lotus_position,Man in Lotus Position,[],"The Man in Lotus Position emoji is a ZWJ sequence combining 🧘 Person in Lotus Position, ‍ Zero Width Joiner and ♂️ Male Sign.
These display as a single emoji on supported platforms.

Man in Lotus Position was added to Emoji 5.0 in 2017.
","[':man_in_lotus_position:\n(Slack, Emojipedia)\n', ':lotus_position_man:\n(Github)\n']","['🧘', '♂️']",,"The Man in Lotus Position emoji is a ZWJ sequence combining 🧘 Person in Lotus Position, ‍ Zero Width Joiner and ♂️ Male Sign.
These display as a single emoji on supported platforms.",Man in Lotus Position was added to Emoji 5.0 in 2017.
📻,\U0001f4fb,radio,Radio,"['Digital Radio', 'Wireless']","A classic portable radio, as used to listen to music, news, or sports. Depicted in various colors and styles with a speaker, antenna, dial, and knobs.
Commonly used for various content concerning radio, broadcasting, and music.

Radio was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':radio:\n(Github, Slack, Emojipedia)\n']",[],"Commonly used for various content concerning radio, broadcasting, and music.","A classic portable radio, as used to listen to music, news, or sports. Depicted in various colors and styles with a speaker, antenna, dial, and knobs.
Commonly used for various content concerning radio, broadcasting, and music.","Radio was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇪🇷,\U0001f1ea\U0001f1f7,flag-_eritrea,Flag: Eritrea,['Eritrean Flag'],"The flag for Eritrea, which may show as the letters ER on some platforms.
The Flag: Eritrea emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇷 Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms.

Flag: Eritrea was added to Emoji 1.0 in 2015.
","[':eritrea:\n(Github)\n', ':flag-er:\n(Slack)\n', ':flag_eritrea:\n(Emojipedia)\n']",[],,"The flag for Eritrea, which may show as the letters ER on some platforms.
The Flag: Eritrea emoji is a flag sequence combining 🇪 Regional Indicator Symbol Letter E and 🇷 Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms.",Flag: Eritrea was added to Emoji 1.0 in 2015.
